customer_input,response
"Can you offer a discount on the laptop?", "We can offer a 10% discount on the laptop."
"Is there any deal for the smartphone?", "We can reduce the price by $50 for you."
"The camera is too expensive, can you lower the price?", "We can offer a 5% discount on the camera."
"I would like a discount on the headphones.", "We can give you a $10 discount on the headphones."
"Can I get a better deal on the smartwatch?", "We can lower the price by 10% for you."
"Is there a discount available for the tablet?", "We can offer you a $20 discount on the tablet."
"I'm interested in buying the TV, can you reduce the price?", "We can offer you a 7% discount on the TV."
"Can you make the price lower for the gaming console?", "We can reduce the price by $30 for you."
"I want to buy this fridge, can I get a discount?", "We can offer a 5% discount on the fridge."
"Is it possible to get a lower price on the washing machine?", "We can reduce the price by $40 for you."
"Can you give me a better price on the air conditioner?", "We can offer a 6% discount on the air conditioner."
"The microwave is a bit expensive, can you offer a discount?", "We can lower the price by $15 for you."
"Can you offer me a discount on the vacuum cleaner?", "We can give you a $20 discount on the vacuum cleaner."
"I'm thinking about buying this camera lens, can you reduce the price?", "We can offer a 5% discount on the lens."
"I would like a discount on the home theater system.", "We can lower the price by $50 for you."
"Is there any discount for the smart speaker?", "We can offer a $10 discount on the smart speaker."
"Can I get a better deal on the laptop?", "We can offer an additional $50 discount on the laptop."
"The price of the smartphone is too high, can you lower it?", "We can reduce the price by $40 for you."
"Can you offer me a discount on the gaming laptop?", "We can offer a 7% discount on the gaming laptop."
"I would like to get a discount on the Bluetooth headphones.", "We can lower the price by $15 for you."
"Can you give me a better deal on the tablet?", "We can offer an additional 5% discount on the tablet."
"The smartwatch is a bit pricey, can you reduce the cost?", "We can offer a $20 discount on the smartwatch."
